Natural Gas: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0.559,0.815,1.017,1.442,1.778,1.871,1.961,2.127,2.337,2.591,2.103,1.95,3.079,3.227,3.325,4.059,4.647,4.515,4.796,4.989,5.225,4.981,5.82,6.234,6.382,6.488,6.681,7.173,7.542,7.804,7.889,8.215,8.512,8.665,8.782,9.63879649924,10.1967225736,10.6092249446,11.3850741552,11.4948989058,11.7745162746,11.9596540203,12.3649147816,14.1995357426,0.151519343257,0.00466896485589
Iran,3.33076596689,8.05607173213,10.8633043717,12.0045676321,12.4561231509,12.9762492188,13.220103106,13.4246279055,8.40960759849,8.10006184734,4.32171907326,4.69585654341,6.43111935726,7.34989930827,8.55583313364,9.23006275167,8.86704842535,10.8550452653,11.7847759612,14.88105,23.55345,27.82395,29.44836,15.73515,24.995565,30.36654,35.713548,37.524555,42.3765,50.48388,53.682318,59.6556,70.939575,74.408535,86.750784,92.09169,100.31715,112.47066,119.16189,129.77973,137.13093,143.87616,149.06943,149.897664855,0.00831098202616,0.0492880148952
Iraq,0.706,0.833,0.842,0.819,0.752,1.169,1.622,1.06,1.099,1.576,1.153,0.558,0.612,0.423,0.531,0.765,1.395,3.375,5.04,5.805,3.582,1.566,2.043,2.295,2.853,2.853,2.916,2.745,2.655,2.862,2.835,2.484,2.124,1.404,0.9,1.305,1.305,1.314,1.6974,1.035,1.1727,0.792,0.585,0.558,-0.0435405671596,0.000183476589433
Kuwait,1.833,1.894,2.238,2.507,2.638,2.891,3.478,3.792,4.249,5.626,3.664,4.216,3.308,3.632,3.938,3.78,5.157,4.302,6.156,7.344,3.771,0.45,2.358,4.878,5.373,8.35,8.372,8.343,8.542,7.776,8.64,9.45,8.514,9.918,10.71,10.98,11.25,10.89,11.475,10.3401,10.557,12.177,13.968,14.031,0.00726239243522,0.00461354843428
Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.486,0.617,0.727,0.796,0.988,1.242,1.581,1.849,2.071,2.084,2.163,2.337,2.37,2.59,2.486,2.603,3.646,3.942,4.484,4.656,4.907,7.803,12.573,13.5,14.85,16.65,17.811,21.33,21.636,21.6504,22.2885,24.3954,23.868,27.018,27.8400310816,0.0332483947277,0.00915411102607
Qatar,0.905,0.905,0.993,1.422,1.168,1.803,0.985,1.396,1.331,3.926,4.267,3.891,4.55,4.712,5.337,4.914,5.22,5.049,5.274,5.58,5.67,6.867,11.358,12.15,12.15,12.15,12.33,15.66,17.622,19.845,21.33,24.3,26.55,28.26,35.253,41.22,45.63,56.88,69.2766,80.361,105.03,130.74426,135.72,142.658205239,0.054001249373,0.0469076002722
Saudi Arabia,1.455,1.214,1.376,1.62,2.05,2.439,2.633,3.705,5.109,6.273,8.752,10.204,10.815,10.561,16.38,16.92,22.68,24.12,26.19,26.82,30.168,31.653,34.425,36.036,38.493,38.637,39.969,40.806,42.138,41.58,44.829,48.321,51.03,54.054,59.112,64.116,66.15,66.978,72.396,70.605,78.894,83.034,89.397,92.709,0.0398894511163,0.0304837475443
Syria,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.03,0.029,0.03,0.04,0.041,0.042,0.064,0.109,0.129,0.326,0.321,0.759,1.243,1.369,1.597,1.652,1.635,1.773,2.235,2.382,3.694,4.78,4.893,4.942,4.529,5.509,5.55,5.752,4.942,5.064,5.023,4.78,5.014971,7.242947,6.376062,4.75026947093,4.0169290471,-0.152061924338,0.00132081082716
United Arab Emirates,0.75,1.324,1.344,1.562,1.564,1.494,1.746,3.51,5.139,5.499,6.768,7.974,8.55,7.524,9.9,11.907,13.698,15.201,15.624,18.342,18.099,21.429,19.953,20.691,24.174,28.188,30.42,32.679,33.363,34.641,34.542,40.446,39.051,40.311,41.661,43.011,44.136,45.306,45.2115,43.938,46.152,47.0772,48.879,50.355,0.0330194756389,0.0165572825464
Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6979510449,5.616,8.46,6.831,9.297,0.364730089903,0.00305695672393
Other Middle East,0.121130989245,0.113383499085,0.11208375567,0.048651179985,0.059456889945,0.05433437178,0.05234652891,0.052015221765,0.05117421132,0.03644378595,0.00173299122,0.00183493188,0.040852719495,0.057876809715,0.050537082195,0.04755531789,0.035653745835,0.04062335301,0.037284796395,0.112226576595,0.15461376173,0.147644154555,0.158076231455,0.17899977596,0.245394210565,0.245605341355,0.234195236905,0.248947634725,0.22165279897,0.23458242204,0.23761398577,0.23202174841,0.23405331214,0.237314242355,1.33864232013,1.71417457557,2.30864271786,2.67849561551,3.27639805407,2.73097456326,3.04790453901,3.9986900325,2.36439276088,5.85963816641,1.4850744009,0.00192671402524
Total Middle East,9.65989695614,15.1544552312,18.7853881274,21.4252188121,22.4655800409,24.6975835906,25.7244496349,29.0966431273,28.0427818098,34.1435056333,31.6874520645,34.2586914753,38.2239720768,38.538776118,49.3683702158,53.3326180696,63.8747021712,69.8496686183,77.7450607576,87.2792765766,93.9290637617,98.8845941546,109.805436231,102.319149776,119.041959211,133.159145341,142.959743237,153.357502635,163.896152799,175.026462422,186.729931986,210.205621748,225.963628312,237.657849242,266.90942632,286.829661075,307.687515291,333.78538056,360.310262209,378.286125514,431.013397814,472.363026053,490.947007013,511.422004132,0.0445590913296,0.16816122774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2.28,2.403,3.045,4.041,4.672,5.753,7.246,6.935,10.755,17.629,12.757,15.189,19.742,28.455,28.318,30.842,32.828,37.049,38.732,41.762,44.343,47.88,49.81,50.487,46.458,52.834,56.109,64.629,68.928,77.407,75.971,70.416,72.33,74.546,73.808,79.398,76.0203,76.3443,77.2371,71.595,72.3708,74.43,73.35,70.74,-0.0329405814409,0.0232600966603
Egypt,0.0765,0.0765,0.0639,0.0513,0.054,0.045,0.342,0.414,0.666,1.008,1.962,2.196,2.403,2.817,3.618,4.437,5.112,5.652,6.228,6.966,7.263,8.172,8.838,10.161,10.89,11.25,11.97,12.24,12.6,15.12,18.9,22.68,24.57,27.09,29.7,38.25,49.23,50.121,53.073,56.421,55.188,55.30280805,54.79310475,50.4606267,-0.0765466690064,0.016592013777
Libya,0.0,1.303,2.878,3.418,3.148,4.176,4.302,4.545,4.608,6.111,4.653,3.42,3.042,3.105,3.303,4.14,5.04,4.5,4.95,6.12,5.58,5.886,6.093,5.724,5.751,5.706,5.778,5.913,5.724,4.518,5.292,5.562,5.31,4.95,7.254,10.17,11.871,13.752,14.31,14.31,15.129,7.0695,10.98,10.7833714749,-0.0152172166854,0.00354569215199
Nigeria,0.1,0.185,0.248,0.38,0.355,0.318,0.59,0.777,0.941,1.24,1.499,2.208,2.3,2.607,2.508,2.376,2.771,2.744,3.299,3.82,3.637,3.548,3.84,4.376,3.997,4.35,4.893,4.71277651657,5.70096856415,4.10941562447,10.6147554036,14.4581138488,16.2382655735,20.2969452846,21.9949844605,22.5463493373,26.6376316784,33.1694972039,32.5507115116,23.3978001902,33.5890764756,36.5219174747,38.9579398292,32.462218904,-0.164453849196,0.0106739376522
Other Africa,0.103,0.107173,0.1487619997,0.280474,0.4000919997,0.410355,0.382383,0.448314,0.524274,0.575224,0.767487,0.817239,0.854103,0.8818,0.895714,0.924782,0.953268,0.932977,1.079331,1.058784,1.091281,1.043701,2.095702,2.627544,2.687135,2.596003,3.49299,4.311788,5.050302,5.845237,5.841744,6.243086,5.985702,6.51738247,7.9909282325,8.920941644,9.3688740063,11.1002956619,14.2094253169,14.6785810708,16.5602387187,16.76922381,16.615723021,19.4125676907,0.171526074409,0.00638306758427
Total Africa,2.5595,4.074673,6.3836619997,8.170774,8.6290919997,10.702355,12.862383,13.119314,17.494274,26.563224,21.638487,23.830239,28.341103,37.8658,38.642714,42.719782,46.704268,50.877977,54.288331,59.726784,61.914281,66.529701,70.676702,73.375544,69.783135,76.736003,82.24299,91.8065645166,98.0032705641,106.999652624,116.619499404,119.359199849,124.433967573,133.400327755,140.747912693,159.285290981,173.127805685,184.487092866,191.380236828,180.402381261,192.837115194,190.093449335,194.6967676,183.85878477,-0.0530787445605,0.0604548078258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1.566,2.337,3.355,4.26,4.86,5.219,6.161,7.038,7.577,8.722,10.015,10.855,10.587,11.5,11.341,12.123,13.243,13.52,13.846,16.025,18.653,19.527,21.117,22.067,25.332,26.784,26.818,26.822,27.325,27.679,28.049,29.2335111,29.3461929,29.8617903,31.7315664,33.4159389,34.9975764,35.9601183,34.430625,38.1106782,40.7060613,40.443462,39.0255687,38.5665759,-0.00905383192003,0.0126811179431
Bangladesh,0.0,0.378,0.378,0.523,0.575,0.578,0.761,0.849,0.937,1.078,1.214,1.462,1.738,1.964,2.294,2.554,2.909,3.446,3.841,4.244,4.284,4.761,5.162,5.533,5.959,6.643,6.812,6.821,6.997,7.457,8.984,9.656,10.304,11.092,11.5389181571,12.4021006956,13.5800250219,14.3405023455,15.3130162419,16.656339289,17.916070995,18.0664334685,18.9500041391,19.6908694106,0.0419426225126,0.00647457627673
