Natural Gas: Proved reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Norway,0.388000011444,0.372000008821,0.344999998808,0.407000005245,0.379999995232,0.54540002346,0.452800005674,1.24689996243,1.73199999332,1.73000001907,1.68009996414,1.27369999886,1.38080000877,1.35479998589,1.34580004215,1.35220003128,1.48000001907,1.17299997807,1.17200005054,1.24699997902,1.25899994373,2.18899989128,2.117000103,2.46099996567,2.38599991798,2.35800004005,2.30200004578,2.31299996376,2.21499991417,2.04600000381,2.04200005531,2.06999993324,2.08999991417,2.0490000248,-0.0196171719581,0.0110341748223
Poland,0.104000002146,0.10000000149,0.097000002861,0.0939999967814,0.0909999981523,0.0960000008345,0.165000006557,0.163000002503,0.171000003815,0.16400000453,0.158999994397,0.152999997139,0.158000007272,0.155000001192,0.155000001192,0.152999997139,0.149000003934,0.155000001192,0.141000002623,0.145999997854,0.119000002742,0.115000002086,0.115999996662,0.109999999404,0.108999997377,0.105999998748,0.112999998033,0.109999999404,0.108999997377,0.119999997318,0.120999999344,0.119999997318,0.115000002086,0.115000002086,-,0.00061929237563
Romania,0.300000011921,0.280000001192,0.254999995232,0.230000004172,0.209999993443,0.270000010729,0.234999999404,0.197999998927,0.165000006557,0.133000001311,0.104999996722,0.481000006199,0.465999990702,0.444999992847,0.425000011921,0.407000005245,0.388999998569,0.374000012875,0.360000014305,0.347999989986,0.335000008345,0.321999996901,0.31099998951,0.305000007153,0.294999986887,0.628000020981,0.628000020981,0.628000020981,0.616999983788,0.606000006199,0.595091998577,0.108999997377,0.101999998093,0.115999996662,0.13725489378,0.00062467751559
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30.717716217,30.5020198822,29.7534275055,29.6265468597,29.6899852753,29.816865921,30.3774833679,30.3097648621,30.3777542114,30.3427658081,30.4633693695,30.5171108246,30.5394649506,30.6292972565,30.9140281677,31.0405483246,31.2507324219,0.00677127530798,0.168289914727
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.36541104317,2.25937533379,2.33278465271,2.33278465271,2.33278465271,2.33278465271,2.33278465271,2.33278465271,2.33278465271,2.33278465271,2.33278465271,7.34093093872,7.34093093872,10.1649999619,17.4790000916,17.4790000916,17.4790000916,-,0.0941270515323
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.666121482849,0.713701605797,0.70735758543,0.704185605049,0.704185605049,0.704185605049,0.701013565063,0.704185605049,0.697841584682,0.69656008482,0.69656008482,0.683034658432,0.66950917244,0.655000030994,0.653999984264,0.64200001955,0.642880022526,0.0013707211474,0.00346200610511
United Kingdom,0.739000022411,0.663999974728,0.633000016212,0.712000012398,0.725000023842,0.648000001907,0.634000003338,0.643999993801,0.589999973774,0.560000002384,0.545000016689,0.540000021458,0.610000014305,0.629999995232,0.660000026226,0.699999988079,0.759999990463,0.764999985695,0.754999995232,1.26499998569,1.1970000267,1.10000002384,0.998000025749,0.90499997139,0.825999975204,0.481000006199,0.412000000477,0.342999994755,0.291999995708,0.256000012159,0.252999991179,0.246000006795,0.244000002742,0.244000002742,-,0.00131397682708
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.11020255089,1.11020255089,1.11020255089,1.17364263535,1.17364263535,1.17364263535,1.17998671532,1.17998671532,1.17364263535,1.18685722351,1.18685722351,1.18009448051,1.13748931885,1.12199997902,1.12199997902,1.12199997902,1.08587288857,-0.0321988351643,0.00584758957848
Other Europe & Eurasia,19.882028371,21.1182821643,21.7384062051,22.3705321527,23.2902229759,24.811037844,25.4151618779,25.8359496575,26.3198527056,32.1285453825,33.6656955821,33.9399232219,34.6742758853,35.6240781518,35.7989720469,35.3262912873,34.8392812195,0.378723805537,0.350723807351,0.386148512014,0.374673220445,0.374097925262,0.359122633585,0.350947334548,0.351347336196,0.362317338237,0.358267336735,0.377549649798,0.363161581452,0.350510488148,0.246091686364,0.252227244549,0.252027243958,0.249381644302,-0.0104972766712,0.00134295783937
Total Europe & Eurasia,23.765139535,24.824507716,25.305535072,26.153109943,27.0038741189,28.6322334837,29.1876474842,30.3615785595,31.2465448859,36.9948576852,38.5155532849,38.7512676592,39.6007125182,40.4661981286,40.6547743743,40.1638969053,39.8032123554,41.7721592539,41.3676374896,41.5123745498,41.2771745353,42.0827575816,41.9768582281,42.6677866719,42.3759739042,42.3182201531,42.0779862549,42.0707461775,46.9265137044,46.6446413462,49.3169480936,56.3732280746,56.500034318,56.6206187025,0.0021342355758,0.304910570383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0.232999995351,0.22499999404,0.222000002861,0.217999994755,0.21400000155,0.209000006318,0.203999996185,0.197999998927,0.189999997616,0.182999998331,0.177000001073,0.172999992967,0.166999995708,0.158999994397,0.152999997139,0.146999999881,0.142000004649,0.142000004649,0.142000004649,0.118000000715,0.109999999404,0.109999999404,0.109999999404,0.0920000001788,0.0900000035763,0.0900000035763,0.0900000035763,0.0850000008941,0.0900000035763,0.231631830335,0.218945890665,0.218945890665,0.19932231307,0.19051463902,-0.0441880971193,0.00102595007047
Iran,14.1009998322,14.0850000381,14.0690002441,14.0450000763,14.015999794,13.986000061,13.9549999237,13.9219999313,14.1999998093,17.0,17.0030002594,19.7999992371,20.7000007629,20.7000007629,20.763999939,19.3500003815,23.0,23.0,24.1000003815,25.0,26.0,26.1000003815,26.6900005341,27.5699996948,27.5,27.5799999237,26.8500003815,28.1299991608,29.6100006104,29.6100006104,33.0900001526,33.6199989319,33.6199989319,33.7799987793,0.00475906766951,0.181910395622
Iraq,0.777400016785,0.773150026798,0.815630018711,0.821200013161,0.818000018597,0.821200013161,0.82118999958,1.0,2.69000005722,3.11500000954,3.10700011253,3.09999990463,3.09999990463,3.09999990463,3.11500000954,3.3599998951,3.3599998951,3.18799996376,3.18799996376,3.28500008583,3.10899996758,3.10899996758,3.19000005722,3.17000007629,3.17000007629,3.17000007629,3.17000007629,3.17000007629,3.17000007629,3.17000007629,3.17148709297,3.58774495125,3.58774495125,3.58774495125,-,0.0193205475807
Kuwait,1.05400002003,1.04600000381,1.03999996185,1.03600001335,1.03779995441,1.03649997711,1.16700005531,1.20500004292,1.37800002098,1.39999997616,1.51800000668,1.51100003719,1.49500000477,1.49199998379,1.49928319454,1.49399995804,1.48899996281,1.49000000954,1.48199999332,1.48199999332,1.55700004101,1.55700004101,1.55700004101,1.5720000267,1.5720000267,1.5720000267,1.77999997139,1.7840000391,1.7840000391,1.7840000391,1.7840000391,1.7840000391,1.7840000391,1.7840000391,-,0.00960710924119
Oman,0.0810000002384,0.0780000016093,0.0829999968409,0.165000006557,0.215000003576,0.217999994755,0.229000002146,0.272000014782,0.282999992371,0.279000014067,0.280000001192,0.0930000022054,0.15000000596,0.20000000298,0.256000012159,0.45300000906,0.616999983788,0.541999995708,0.568000018597,0.829999983311,0.85900002718,0.945999979973,0.945999979973,0.990000009537,0.995000004768,0.995000004768,0.980000019073,0.980000019073,0.949999988079,0.949999988079,0.949999988079,0.949999988079,0.949999988079,0.949999988079,-,0.00511589320377
Qatar,2.79999995232,2.82999992371,3.14499998093,3.40000009537,4.28000020981,4.44000005722,4.44000005722,4.44000005722,4.62099981308,4.61999988556,4.61499977112,6.4279999733,6.71299982071,7.07000017166,7.07000017166,8.5,8.5,8.5,10.8999996185,11.156999588,14.4429998398,25.783000946,25.783000946,25.343000412,25.361000061,25.6359996796,25.542760849,25.4649181366,25.3650741577,25.3215789795,25.0470752716,25.0470752716,24.8876800537,24.6781349182,-0.00841963291168,0.132895484567
Saudi Arabia,3.18322992325,3.34608006477,3.43216991425,3.54397010803,3.60801005363,3.68700003624,4.02099990845,4.18949985504,5.01999998093,5.21840000153,5.22270011902,5.22060012817,5.24879980087,5.24879980087,5.26000022888,5.54449987411,5.69329977036,5.88199996948,6.06799983978,6.14599990845,6.30100011826,6.45556020737,6.64599990845,6.75400018692,6.75699996948,6.8220000267,7.07299995422,7.30444478989,7.56940555573,7.91937351227,8.01528263092,8.1502122879,8.2337474823,8.2337474823,-,0.0443399734795
