Coal: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Non-OECD,1791.34520147,1877.17053264,1943.002792,2048.29646864,2179.18285939,2250.712554,2323.17486237,2412.8246971,2481.72263987,2454.04206347,2388.05223546,2413.54788592,2397.82089762,2440.17438364,2564.30414076,2607.98389451,2622.16562447,2559.86843152,2579.16503923,2673.14006504,2812.44600669,2890.52452518,3267.034397,3634.89435946,3932.74306617,4215.40891904,4440.91946607,4659.68644265,4842.26764849,5190.22518777,5615.29042214,5837.03720923,5876.59531697,0.0127829359844,0.748087763786
                 European Union #,1131.45,1172.865,1163.26,1131.76,1221.71759174,1240.90483838,1237.71951305,1230.74061532,1195.51892601,1058.47963281,955.861602051,892.596602051,835.450601794,787.176602051,774.396602051,767.133,741.557,680.617,644.603,642.620782667,650.492256,649.608155,650.148729,640.688057,621.410293,609.693162,608.624327,588.154242571,559.704633821,548.82563,577.639978211,583.67766706,542.686674008,-0.0791088491678,0.0391403771937
                 Former Soviet Union,710.5,721.3,715.8,709.3,746.81759174,772.01483838,781.15751305,793.60761532,761.10892601,726.286,648.742,623.665,553.0902,489.7075,446.0177,420.8461,411.5455,394.7117,403.6395,428.8404,447.6664,427.6789,459.1002,467.2761,481.9031,503.655261,508.693441,539.285151,495.614192,527.260995,555.3358722,583.732411,575.79999964,-0.0094550549984,0.0709348544478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal. Includes coal produced for Coal-to-Liquids and Coal-to-Gas transformations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ^ Less than 0.05.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w Less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" # Excludes Estonia, Latvia and Lithuania prior to 1985 and Slovenia prior to 1991.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Annual changes and shares of total are based on data expressed in tonnes oil equivalent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth rates are adjusted for leap years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
