Natural Gas: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Billion cubic metres,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Europe & Eurasia,281.902977387,317.506468948,350.622565307,382.575822851,423.107328686,456.534471482,497.817898443,527.214652232,557.036091102,595.294382218,618.484211399,642.3121162,662.632606957,697.727921195,749.270148444,805.503438954,840.753111172,883.238195378,910.316799341,935.341087344,961.214689892,956.010157494,932.368205419,922.649295989,886.029999405,876.909261376,921.699452468,876.422492252,890.93574844,913.009088543,936.221295968,944.762344459,965.915927362,1000.53667173,1025.30183517,1028.83476375,1040.93039858,1042.10716793,1074.4208859,954.754461134,1026.92886021,1034.23611504,1028.11052779,1032.90171842,0.00741268388724,0.305666587926
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0.621111111111,0.905555555556,1.13,1.60222222222,1.97555555556,2.07888888889,2.17888888889,2.36333333333,2.59666666667,2.87888888889,2.33666666667,2.16666666667,3.42111111111,3.58555555556,3.69444444444,4.51,5.16333333333,5.01666666667,5.32888888889,5.54333333333,5.80555555556,5.53444444444,6.46666666667,6.92666666667,7.09111111111,7.20888888889,7.42333333333,7.97,8.38,8.67111111111,8.76555555556,9.12777777778,9.45777777778,9.62777777778,9.75777777778,10.709773888,11.3296917484,11.7880277162,12.6500823946,12.7721098953,13.0827958607,13.288504467,13.7387942018,15.7772619363,0.151519343257,0.00466896485589
Iran,3.70085107433,8.95119081347,12.0703381908,13.3384084801,13.8401368344,14.4180546875,14.6890034511,14.9162532284,9.34400844277,9.00006871927,4.8019100814,5.21761838156,7.14568817474,8.16655478697,9.5064812596,10.2556252796,9.85227602816,12.0611614058,13.0941955125,16.5345,26.1705,30.9155,32.7204,17.4835,27.77285,33.7406,39.68172,41.69395,47.085,56.0932,59.64702,66.284,78.82175,82.67615,96.38976,102.3241,111.4635,124.9674,132.4021,144.1997,152.3677,159.8624,165.6327,166.55296095,0.00831098202616,0.0492880148952
Iraq,0.784444444444,0.925555555556,0.935555555556,0.91,0.835555555556,1.29888888889,1.80222222222,1.17777777778,1.22111111111,1.75111111111,1.28111111111,0.62,0.68,0.47,0.59,0.85,1.55,3.75,5.6,6.45,3.98,1.74,2.27,2.55,3.17,3.17,3.24,3.05,2.95,3.18,3.15,2.76,2.36,1.56,1.0,1.45,1.45,1.46,1.886,1.15,1.303,0.88,0.65,0.62,-0.0435405671596,0.000183476589433
Kuwait,2.03666666667,2.10444444444,2.48666666667,2.78555555556,2.93111111111,3.21222222222,3.86444444444,4.21333333333,4.72111111111,6.25111111111,4.07111111111,4.68444444444,3.67555555556,4.03555555556,4.37555555556,4.2,5.73,4.78,6.84,8.16,4.19,0.5,2.62,5.42,5.97,9.27777777778,9.30222222222,9.27,9.49111111111,8.64,9.6,10.5,9.46,11.02,11.9,12.2,12.5,12.1,12.75,11.489,11.73,13.53,15.52,15.59,0.00726239243522,0.00461354843428
Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321111111111,0.54,0.685555555556,0.807777777778,0.884444444444,1.09777777778,1.38,1.75666666667,2.05444444444,2.30111111111,2.31555555556,2.40333333333,2.59666666667,2.63333333333,2.87777777778,2.76222222222,2.89222222222,4.05111111111,4.38,4.98222222222,5.17333333333,5.45222222222,8.67,13.97,15.0,16.5,18.5,19.79,23.7,24.04,24.056,24.765,27.106,26.52,30.02,30.9333678684,0.0332483947277,0.00915411102607
Qatar,1.00555555556,1.00555555556,1.10333333333,1.58,1.29777777778,2.00333333333,1.09444444444,1.55111111111,1.47888888889,4.36222222222,4.74111111111,4.32333333333,5.05555555556,5.23555555556,5.93,5.46,5.8,5.61,5.86,6.2,6.3,7.63,12.62,13.5,13.5,13.5,13.7,17.4,19.58,22.05,23.7,27.0,29.5,31.4,39.17,45.8,50.7,63.2,76.974,89.29,116.7,145.2714,150.8,158.509116932,0.054001249373,0.0469076002722
Saudi Arabia,1.61666666667,1.34888888889,1.52888888889,1.8,2.27777777778,2.71,2.92555555556,4.11666666667,5.67666666667,6.97,9.72444444444,11.3377777778,12.0166666667,11.7344444444,18.2,18.8,25.2,26.8,29.1,29.8,33.52,35.17,38.25,40.04,42.77,42.93,44.41,45.34,46.82,46.2,49.81,53.69,56.7,60.06,65.68,71.24,73.5,74.42,80.44,78.45,87.66,92.26,99.33,103.01,0.0398894511163,0.0304837475443
Syria,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0333333333333,0.0322222222222,0.0333333333333,0.0444444444444,0.0455555555556,0.0466666666667,0.0711111111111,0.121111111111,0.143333333333,0.362222222222,0.356666666667,0.843333333333,1.38111111111,1.52111111111,1.77444444444,1.83555555556,1.81666666667,1.97,2.48333333333,2.64666666667,4.10444444444,5.31111111111,5.43666666667,5.49111111111,5.03222222222,6.12111111111,6.16666666667,6.39111111111,5.49111111111,5.62666666667,5.58111111111,5.31111111111,5.57219,8.04771888889,7.08451333333,5.27807718992,4.46325449678,-0.152061924338,0.00132081082716
